TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Coordinates,TransactionDay,Hour,DayOfWeek,Weekend,Month,TimeSinceLastTx,AccountTxCount,AccountAvgAmount,AccountStdAmount,TxToAccountAvgRatio,Amount_to_AvgByType_Ratio,DeviceTxCount,AccountAvgTimeBetweenTx,TimeSinceLastTxRatio,AccountTxVelocity,PrevLocation,PrevLocationCoordinates,DistanceFromLastTx,Velocity,UnrealisticVelocity,AccountDeviceCount,DeviceRarity,AccountModalHour,HourDeviation,Anomaly
TX001841,AC00003,237.97,2023-01-09 17:26:46,Debit,Columbus,D000498,170.154.69.105,M089,ATM,69,Doctor,69,1,13486.15,2023-01-02 16:45:05,"(39.9622601, -83.0007065)",2023-01-09,17,0,0,1,168.69472222222223,5,253.26800000000003,158.48475327298834,0.9395975804286367,0.8067018796330364,5,-13833.894666666665,1.1530132729071911,0.01830885978439453,San Antonio,"(29.4246002, -98.4951405)",1834.1946587136392,10.872798874517171,0,5,0.2,16,1,0
TX002363,AC00003,416.62,2023-03-06 17:26:59,Credit,Baltimore,D000495,161.195.172.148,M091,Online,26,Student,67,1,9700.9,2023-01-09 17:26:46,"(39.2908816, -76.610759)",2023-03-06,17,0,0,3,1344.003611111111,5,253.26800000000003,158.48475327298834,1.644976862454001,1.359277768143695,2,-13833.894666666665,1.0558660703984928,0.01830885978439453,Columbus,"(39.9622601, -83.0007065)",553.5396319815475,0.4118584321849365,0,5,0.5,16,1,0
TX001904,AC00003,384.11,2023-05-15 16:35:43,Debit,Fort Worth,D000290,194.88.79.54,M032,ATM,58,Retired,12,1,7902.52,2023-03-06 17:26:59,"(32.753177, -97.3327459)",2023-05-15,16,0,0,5,1679.1455555555556,5,253.26800000000003,158.48475327298834,1.5166148111881483,1.3021063957046923,6,-13833.894666666665,0.9344812168746375,0.01830885978439453,Baltimore,"(39.2908816, -76.610759)",1998.009235960055,1.1898956820353312,0,5,0.16666666666666666,16,0,0
TX002248,AC00003,207.47,2023-10-02 18:57:19,Debit,Miami,D000643,147.234.20.46,M045,ATM,53,Doctor,12,1,1688.9,2023-05-15 16:35:43,"(25.7741728, -80.19362)",2023-10-02,18,0,0,10,3362.36,5,253.26800000000003,158.48475327298834,0.8191717864080735,0.7033089841890409,5,-13833.894666666665,0.6914294128402115,0.01830885978439453,Fort Worth,"(32.753177, -97.3327459)",1833.4406389022313,0.5452836976464547,0,5,0.2,16,2,0
TX001851,AC00004,13.16,2023-05-01 17:36:10,Debit,Mesa,D000098,161.177.41.214,M084,Branch,43,Engineer,98,1,1019.46,,"(33.4151005, -111.831455)",2023-05-01,17,0,0,5,936.2158333333333,9,242.2311111111111,231.0815858330367,0.054328281530952996,0.04461149193583544,5,-10185.814938271606,1.30206294759884,0.03674379129866763,,,0.0,0.0,0,9,0.2,16,1,0
TX000707,AC00004,642.54,2023-05-10 18:49:20,Debit,Milwaukee,D000663,166.79.195.157,M025,Branch,44,Engineer,28,1,3143.17,2023-05-01 17:36:10,"(43.0386475, -87.9090751)",2023-05-10,18,2,0,5,217.21944444444443,9,242.2311111111111,231.0815858330367,2.6525907306153904,2.1781662635601595,9,-10185.814938271606,1.2807374570694725,0.03674379129866763,Mesa,"(33.4151005, -111.831455)",2339.768813268837,10.771402384581938,0,9,0.1111111111111111,16,2,0
TX001648,AC00004,99.25,2023-06-26 16:53:58,Credit,Phoenix,D000524,17.87.7.140,M048,Online,63,Retired,93,1,2570.34,2023-05-10 18:49:20,"(33.4484367, -112.074141)",2023-06-26,16,0,0,6,1126.0772222222222,9,242.2311111111111,231.0815858330367,0.40973267036072075,0.3238162317897886,2,-10185.814938271606,1.1701789656617716,0.03674379129866763,Milwaukee,"(43.0386475, -87.9090751)",2356.402566674672,2.092574494536007,0,9,0.5,16,0,0
TX000223,AC00004,547.87,2023-07-10 17:15:27,Debit,Columbus,D000183,188.205.152.176,M064,ATM,64,Retired,131,1,6155.76,2023-06-26 16:53:58,"(39.9622601, -83.0007065)",2023-07-10,17,0,0,7,336.35805555555555,9,242.2311111111111,231.0815858330367,2.2617656232798797,1.857241495963994,6,-10185.814938271606,1.1371616162254017,0.03674379129866763,Phoenix,"(33.4484367, -112.074141)",2683.155224123236,7.977056600101157,0,9,0.16666666666666666,16,1,0
TX002442,AC00004,61.62,2023-10-09 16:01:25,Debit,Miami,D000134,93.218.115.132,M066,Online,57,Doctor,19,1,8365.37,2023-07-10 17:15:27,"(25.7741728, -80.19362)",2023-10-09,16,0,0,10,2182.766111111111,9,242.2311111111111,231.0815858330367,0.25438516017760815,0.20888754810685256,3,-10185.814938271606,0.9228694023415595,0.03674379129866763,Columbus,"(39.9622601, -83.0007065)",1595.0529226607498,0.7307481015914736,0,9,0.3333333333333333,16,0,0
TX002391,AC00004,136.31,2023-10-30 16:38:14,Debit,Nashville,D000405,6.234.101.35,M055,Online,74,Retired,65,1,4384.95,2023-10-09 16:01:25,"(36.1622767, -86.7742984)",2023-10-30,16,0,0,10,504.6136111111111,9,242.2311111111111,231.0815858330367,0.5627270558878574,0.4620814943597058,4,-10185.814938271606,0.8733231021679495,0.03674379129866763,Miami,"(25.7741728, -80.19362)",1311.2471317174566,2.5985120185684303,0,9,0.25,16,0,0
TX001820,AC00004,365.43,2023-11-23 16:51:06,Debit,Portland,D000146,136.172.149.77,M014,ATM,25,Student,176,1,1073.51,2023-10-30 16:38:14,"(45.5202471, -122.674194)",2023-11-23,16,3,0,11,576.2144444444444,9,242.2311111111111,231.0815858330367,1.5086006018127778,1.2387824846589928,3,-10185.814938271606,0.8167539907623408,0.03674379129866763,Nashville,"(36.1622767, -86.7742984)",3170.1907682279552,5.501745568941632,0,9,0.3333333333333333,16,0,0
TX002328,AC00004,273.24,2023-12-12 16:56:18,Debit,Fresno,D000626,211.45.75.44,M011,Branch,51,Retired,173,1,2202.21,2023-11-23 16:51:06,"(36.7394421, -119.78483)",2023-12-12,16,1,0,12,456.08666666666664,9,242.2311111111111,231.0815858330367,1.1280136508751974,0.9262647459382732,8,-10185.814938271606,0.7719784592470228,0.03674379129866763,Portland,"(45.5202471, -122.674194)",1004.7042126361854,2.202875205942539,0,9,0.125,16,0,0
TX000245,AC00004,40.66,2024-01-01 16:08:49,Debit,Louisville,D000214,148.25.159.90,M061,Branch,59,Retired,156,1,1153.84,2023-12-12 16:56:18,"(38.2542376, -85.759407)",2024-01-01,16,0,0,1,479.2086111111111,9,242.2311111111111,231.0815858330367,0.16785622545961615,0.13783459438533957,8,-10185.814938271606,0.7249340589256414,0.03674379129866763,Fresno,"(36.7394421, -119.78483)",2996.5892010487296,6.253190945191479,0,9,0.125,16,0,0
TX002315,AC00005,162.59,2023-02-22 16:18:32,Debit,Indianapolis,D000401,201.95.180.152,M098,Branch,64,Retired,19,1,7104.83,,"(39.7683331, -86.1583502)",2023-02-22,16,2,0,2,936.2158333333333,9,347.97444444444443,189.4872683131449,0.4672469561941011,0.5511688809914501,3,-11745.61364197531,1.2682042570333623,0.03157099692365482,,,0.0,0.0,0,9,0.3333333333333333,16,0,0
TX000944,AC00005,377.92,2023-02-22 17:29:36,Debit,Raleigh,D000360,179.43.245.131,M029,Branch,33,Engineer,204,1,2254.71,2023-02-22 16:18:32,"(35.7803977, -78.6390989)",2023-02-22,17,2,0,2,1.1844444444444444,9,347.97444444444443,189.4872683131449,1.0860567666207928,1.2811227228260584,1,-11745.61364197531,1.268100743213617,0.03157099692365482,Indianapolis,"(39.7683331, -86.1583502)",796.2609248940971,671.6982213934647,0,9,1.0,16,1,0
TX001792,AC00005,680.76,2023-02-27 16:38:41,Debit,Kansas City,D000035,60.89.202.192,M011,Branch,21,Student,165,1,572.97,2023-02-22 17:29:36,"(39.100105, -94.5781416)",2023-02-27,16,0,0,2,119.15138888888889,9,347.97444444444443,189.4872683131449,1.9563505621421753,2.3077294263099795,5,-11745.61364197531,1.2579595106113186,0.03157099692365482,Raleigh,"(35.7803977, -78.6390989)",1455.7026623844415,12.21715045715032,0,9,0.2,16,0,0
TX000547,AC00005,420.28,2023-05-17 17:28:25,Debit,Washington,D000677,110.150.1.201,M002,Branch,35,Doctor,144,1,8557.32,2023-02-27 16:38:41,"(38.8950368, -77.0365427)",2023-05-17,17,2,0,5,1896.828888888889,9,347.97444444444443,189.4872683131449,1.2077898440817811,1.4247201999082764,4,-11745.61364197531,1.0964669074966105,0.03157099692365482,Kansas City,"(39.100105, -94.5781416)",1517.4233938260486,0.7999786394735238,0,9,0.25,16,1,0
TX000760,AC00005,417.8,2023-06-26 16:21:14,Credit,Philadelphia,D000630,49.31.186.82,M066,Branch,27,Student,130,1,1518.82,2023-05-17 17:28:25,"(39.9527237, -75.1635262)",2023-06-26,16,0,0,6,958.8802777777778,9,347.97444444444443,189.4872683131449,1.2006628839282578,1.3631276739725307,4,-11745.61364197531,1.0148299779532617,0.03157099692365482,Washington,"(38.8950368, -77.0365427)",199.49308590361917,0.20804774326801698,0,9,0.25,16,0,0
TX000195,AC00005,488.54,2023-07-03 17:47:49,Debit,Jacksonville,D000466,198.24.183.157,M036,Branch,52,Engineer,132,1,7486.63,2023-06-26 16:21:14,"(30.3321838, -81.655651)",2023-07-03,17,0,0,7,169.44305555555556,9,347.97444444444443,189.4872683131449,1.4039536747590022,1.6561168898429366,4,-11745.61364197531,1.0004012819264114,0.03157099692365482,Philadelphia,"(39.9527237, -75.1635262)",1219.4528114234563,7.196787207584481,0,9,0.25,16,1,0
TX001971,AC00005,116.89,2023-11-20 16:31:15,Debit,Columbus,D000328,146.250.144.172,M064,Online,71,Retired,226,1,4880.31,2023-07-03 17:47:49,"(39.9622601, -83.0007065)",2023-11-20,16,0,0,11,3358.7238888888887,9,347.97444444444443,189.4872683131449,0.33591547271989963,0.3962490343753651,3,-11745.61364197531,0.7144445322512069,0.03157099692365482,Jacksonville,"(30.3321838, -81.655651)",1075.3672934106257,0.32017129386455095,0,9,0.3333333333333333,16,0,0
TX002083,AC00005,359.51,2023-11-30 18:08:39,Debit,Charlotte,D000144,32.169.88.41,M010,Online,79,Retired,157,1,7153.72,2023-11-20 16:31:15,"(35.2272086, -80.8430827)",2023-11-30,18,3,0,11,241.62333333333333,9,347.97444444444443,189.4872683131449,1.0331505825779033,1.218714093149863,3,-11745.61364197531,0.6938810638009594,0.03157099692365482,Columbus,"(39.9622601, -83.0007065)",558.9633824447845,2.313357163716063,0,9,0.3333333333333333,16,2,0
TX001038,AC00005,107.48,2023-12-04 18:01:53,Debit,Omaha,D000221,44.73.3.217,M080,Branch,22,Student,129,1,591.23,2023-11-30 18:08:39,"(41.2587459, -95.9383758)",2023-12-04,18,0,0,12,95.88722222222222,9,347.97444444444443,189.4872683131449,0.30887325697608703,0.36434978368264387,6,-11745.61364197531,0.6857117257132516,0.03157099692365482,Charlotte,"(35.2272086, -80.8430827)",1478.517369082488,15.419175940669797,0,9,0.16666666666666666,16,2,0
TX000662,AC00006,158.56,2023-02-28 17:28:13,Debit,Sacramento,D000027,218.238.171.184,M087,ATM,33,Doctor,100,1,5401.21,,"(38.5810606, -121.493895)",2023-02-28,17,1,0,2,936.2158333333333,4,254.43,241.72167727919367,0.623196950045199,0.5375074590688501,3,-11943.176180555554,1.2350742800091619,0.01826725565880572,,,0.0,0.0,0,4,0.3333333333333333,17,0,0
TX000216,AC00006,74.88,2023-05-24 16:25:50,Debit,Atlanta,D000139,161.161.26.115,M026,ATM,25,Student,202,1,420.67,2023-02-28 17:28:13,"(33.7544657, -84.3898151)",2023-05-24,16,2,0,5,2038.9602777777777,4,254.43,241.72167727919367,0.29430491687301025,0.25383803314250436,4,-11943.176180555554,1.0643482685606322,0.01826725565880572,Sacramento,"(38.5810606, -121.493895)",3357.88040164508,1.6468583480431591,0,4,0.25,17,1,0
TX001406,AC00006,611.15,2023-08-11 17:12:30,Debit,Detroit,D000044,51.250.46.149,M009,ATM,27,Student,121,1,892.83,2023-05-24 16:25:50,"(42.3315509, -83.0466403)",2023-08-11,17,4,0,8,1896.7777777777778,4,254.43,241.72167727919367,2.4020359234367015,2.0717563295277985,6,-11943.176180555554,0.905533661402664,0.01826725565880572,Atlanta,"(33.7544657, -84.3898151)",959.2722829830961,0.5057375663528656,0,4,0.16666666666666666,17,0,0
TX001977,AC00006,173.13,2023-10-05 16:46:31,Credit,Atlanta,D000485,5.50.152.168,M044,Online,20,Student,288,1,1490.34,2023-08-11 17:12:30,"(33.7544657, -84.3898151)",2023-10-05,16,3,0,10,1319.5669444444445,4,254.43,241.72167727919367,0.680462209645089,0.5648594882596081,7,-11943.176180555554,0.7950437900275424,0.01826725565880572,Detroit,"(42.3315509, -83.0466403)",959.2722829830961,0.7269593710742666,0,4,0.14285714285714285,17,1,0
TX000077,AC00007,162.63,2023-06-12 17:53:52,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,634.17,,"(39.100105, -94.5781416)",2023-06-12,17,0,0,6,936.2158333333333,5,299.07599999999996,240.23640696197566,0.5437748264655138,0.5513044782313766,4,-10071.015277777778,1.2167831473462554,0.029764281360373724,,,0.0,0.0,0,5,0.25,17,0,0
TX000839,AC00007,637.75,2023-07-24 16:07:05,Debit,Dallas,D000561,184.57.159.204,M028,Branch,79,Retired,152,1,4202.92,2023-06-12 17:53:52,"(32.7762719, -96.7968559)",2023-07-24,16,0,0,7,1006.2202777777778,5,299.07599999999996,240.23640696197566,2.1324011288100686,2.161928494078955,4,-10071.015277777778,1.1168714508122939,0.029764281360373724,Kansas City,"(39.100105, -94.5781416)",729.6103442513293,0.7250993000890033,0,5,0.25,17,1,0
TX000977,AC00007,466.64,2023-09-04 16:57:31,Debit,Las Vegas,D000327,131.41.45.13,M082,ATM,58,Doctor,11,1,10915.11,2023-07-24 16:07:05,"(36.171697, -115.1463536)",2023-09-04,16,0,0,9,1008.8405555555555,5,299.07599999999996,240.23640696197566,1.5602723053671979,1.5818774009831496,4,-10071.015277777778,1.016699574176773,0.029764281360373724,Dallas,"(32.7762719, -96.7968559)",1724.457448461959,1.7093441868701806,0,5,0.25,17,1,0
TX001336,AC00007,90.88,2023-11-20 17:08:33,Debit,Colorado Springs,D000086,175.210.47.87,M071,ATM,26,Engineer,284,1,7117.35,2023-09-04 16:57:31,"(38.8339578, -104.825348)",2023-11-20,17,0,0,11,1848.183888888889,5,299.07599999999996,240.23640696197566,0.30386925062525916,0.30807692911312495,2,-10071.015277777778,0.8331869056013468,0.029764281360373724,Las Vegas,"(36.171697, -115.1463536)",958.5944222421632,0.5186680337043882,0,5,0.5,17,0,0
TX001579,AC00007,137.48,2023-11-27 17:34:33,Debit,Seattle,D000206,66.255.7.16,M058,Branch,55,Doctor,47,1,14273.42,2023-11-20 17:08:33,"(47.6038321, -122.330062)",2023-11-27,17,0,0,11,168.43333333333334,5,299.07599999999996,240.23640696197566,0.4596824887319611,0.4660477136275574,3,-10071.015277777778,0.8164589220633304,0.029764281360373724,Colorado Springs,"(38.8339578, -104.825348)",1717.639576518434,10.197680855952372,0,5,0.3333333333333333,17,0,0
TX002005,AC00008,76.16,2023-11-21 16:45:29,Debit,San Francisco,D000539,100.128.70.210,M060,ATM,23,Student,99,1,1072.25,,"(37.7792588, -122.4193286)",2023-11-21,16,1,0,11,936.2158333333333,1,76.16,0.0,1.0,0.258177144820154,4,-8367.443055555555,1.0,0.0,,,0.0,0.0,0,1,0.25,16,0,0
TX002512,AC00009,243.08,2023-02-14 16:21:23,Credit,Jacksonville,D000215,59.127.135.25,M041,Online,24,Student,93,1,131.25,,"(30.3321838, -81.655651)",2023-02-14,16,1,0,2,936.2158333333333,5,196.816,144.05806513347318,1.2350621900658483,0.7930806007401694,6,-13090.153,1.1526048541135379,0.015921533376343586,,,0.0,0.0,0,4,0.16666666666666666,16,0,0
TX002048,AC00009,425.18,2023-02-20 16:16:39,Credit,Fresno,D000270,27.93.195.98,M057,Online,59,Engineer,135,1,5790.55,2023-02-14 16:21:23,"(36.7394421, -119.78483)",2023-02-20,16,0,0,2,143.92111111111112,5,196.816,144.05806513347318,2.1602918461913667,1.387205898563046,5,-13090.153,1.1416148501515264,0.015921533376343586,Jacksonville,"(30.3321838, -81.655651)",3587.810323313913,24.928833350311564,0,4,0.2,16,0,0
TX000868,AC00009,87.38,2023-03-03 18:23:29,Debit,Atlanta,D000356,3.200.166.167,M054,Branch,21,Student,252,1,1504.99,2023-02-20 16:16:39,"(33.7544657, -84.3898151)",2023-03-03,18,4,0,3,266.1138888888889,5,196.816,144.05806513347318,0.443967970083733,0.2962121706195517,5,-13090.153,1.1212833884455828,0.015921533376343586,Fresno,"(36.7394421, -119.78483)",3220.0868862915167,12.100363492386185,0,4,0.2,16,2,0
TX000840,AC00009,153.59,2023-05-04 17:43:59,Credit,Portland,D000270,204.120.80.105,M001,Branch,66,Retired,174,1,4813.12,2023-03-03 18:23:29,"(45.5202471, -122.674194)",2023-05-04,17,3,0,5,1487.3416666666667,5,196.816,144.05806513347318,0.7803735468661085,0.5011076578397343,5,-13090.153,1.0076604061762218,0.015921533376343586,Atlanta,"(33.7544657, -84.3898151)",3496.2701158775344,2.3506823237399233,0,4,0.2,16,1,0
TX000279,AC00009,74.85,2023-12-25 17:19:08,Debit,Raleigh,D000526,191.82.103.198,M091,ATM,72,Retired,117,1,2409.73,2023-05-04 17:43:59,"(35.7803977, -78.6390989)",2023-12-25,17,0,0,12,5639.5858333333335,5,196.816,144.05806513347318,0.3803044467929436,0.25373633521255945,4,-13090.153,0.576836501113131,0.015921533376343586,Portland,"(45.5202471, -122.674194)",3825.726463961608,0.678369990040631,0,4,0.25,16,1,0
TX002367,AC00010,281.91,2023-01-12 17:10:03,Debit,Denver,D000312,24.148.92.177,M069,Branch,25,Student,269,1,225.53,,"(39.7392364, -104.984862)",2023-01-12,17,3,0,1,936.2158333333333,7,395.5242857142857,433.6667895538056,0.7127501652417948,0.9556554476923533,4,-12039.328690476192,1.3189236909774305,0.02173994390102373,,,0.0,0.0,0,7,0.25,16,1,0
TX001737,AC00010,7.56,2023-02-06 16:38:45,Debit,Milwaukee,D000358,205.45.234.42,M070,ATM,40,Doctor,145,1,8528.72,2023-01-12 17:10:03,"(43.0386475, -87.9090751)",2023-02-06,16,0,0,2,599.4783333333334,7,395.5242857142857,433.6667895538056,0.019113870558788153,0.025627878346118228,3,-12039.328690476192,1.2691302400604831,0.02173994390102373,Denver,"(39.7392364, -104.984862)",1471.5690613382808,2.4547452756307653,0,7,0.3333333333333333,16,0,0
TX001760,AC00010,1086.6,2023-05-22 17:40:46,Debit,San Diego,D000428,74.58.165.67,M016,Online,19,Student,38,1,1605.67,2023-02-06 16:38:45,"(32.7174202, -117.162772)",2023-05-22,17,0,0,5,2521.033611111111,7,395.5242857142857,433.6667895538056,2.747239649362329,3.683499022604771,6,-12039.328690476192,1.0597352131143551,0.02173994390102373,Milwaukee,"(43.0386475, -87.9090751)",2798.320265059772,1.1099888326509135,0,7,0.16666666666666666,16,1,0
TX001168,AC00010,838.57,2023-06-26 16:08:25,Debit,Phoenix,D000430,115.30.82.168,M040,ATM,41,Doctor,273,1,14576.47,2023-05-22 17:40:46,"(33.4484367, -112.074141)",2023-06-26,16,0,0,6,838.4608333333333,7,395.5242857142857,433.6667895538056,2.1201479410691775,2.842694437130207,7,-12039.328690476192,0.9900925796161252,0.02173994390102373,San Diego,"(32.7174202, -117.162772)",481.9182443490089,0.5747646764470205,0,7,0.14285714285714285,16,0,0
TX000096,AC00010,508.68,2023-06-26 16:16:50,Credit,Mesa,D000622,193.108.17.115,M048,Branch,51,Engineer,127,1,7708.41,2023-06-26 16:08:25,"(33.4151005, -111.831455)",2023-06-26,16,0,0,6,0.14027777777777778,7,395.5242857142857,433.6667895538056,1.2860904333127459,1.659635675434052,6,-12039.328690476192,0.9900783207923088,0.02173994390102373,Phoenix,"(33.4484367, -112.074141)",22.869534108910145,161.87637198599396,0,7,0.16666666666666666,16,0,0
TX000180,AC00010,34.17,2023-11-21 16:57:43,Credit,Philadelphia,D000036,177.116.108.246,M091,Online,54,Engineer,54,1,726.55,2023-06-26 16:16:50,"(39.9527237, -75.1635262)",2023-11-21,16,1,0,11,3552.6813888888887,7,395.5242857142857,433.6667895538056,0.08639166097801472,0.11148413743332067,2,-12039.328690476192,0.6949844402645149,0.02173994390102373,Mesa,"(33.4151005, -111.831455)",3332.0208084326364,0.9378887397459515,0,7,0.5,16,0,0
TX000202,AC00010,11.18,2023-11-30 16:52:42,Debit,Atlanta,D000129,16.51.235.240,M017,Online,43,Doctor,161,1,5956.89,2023-11-21 16:57:43,"(33.7544657, -84.3898151)",2023-11-30,16,3,0,11,215.9163888888889,7,395.5242857142857,433.6667895538056,0.028266279477149676,0.03789942855947114,8,-12039.328690476192,0.6770555151747818,0.02173994390102373,Philadelphia,"(39.9527237, -75.1635262)",1071.3868156986612,4.962021915937474,0,7,0.125,16,0,0
TX000694,AC00011,733.29,2023-03-15 18:42:16,Debit,Virginia Beach,D000618,16.51.235.240,M032,ATM,52,Doctor,94,5,10427.0,,"(36.8496579, -75.9760751)",2023-03-15,18,2,0,3,936.2158333333333,7,348.3228571428572,305.3973512062761,2.1052020703288408,2.4858025016435232,5,-11315.611468253968,1.271642773872642,0.025005397577139047,,,0.0,0.0,0,7,0.2,16,2,0
TX000735,AC00011,117.55,2023-05-19 16:35:07,Debit,Fresno,D000088,4.101.189.38,M046,ATM,24,Student,35,1,897.94,2023-03-15 18:42:16,"(36.7394421, -119.78483)",2023-05-19,16,4,0,5,1557.8808333333334,7,348.3228571428572,305.3973512062761,0.3374742644344737,0.39848638883415316,5,-11315.611468253968,1.133973334332468,0.025005397577139047,Virginia Beach,"(36.8496579, -75.9760751)",3874.578520787742,2.487081136633753,0,7,0.2,16,0,0
TX001015,AC00011,688.36,2023-06-30 16:31:49,Credit,Memphis,D000235,200.136.146.93,M007,Branch,23,Student,22,1,5191.13,2023-05-19 16:35:07,"(35.1460249, -90.0517638)",2023-06-30,16,4,0,6,1007.945,7,348.3228571428572,305.3973512062761,1.9762125450116066,2.245865403675757,5,-11315.611468253968,1.0448975274218095,0.025005397577139047,Fresno,"(36.7394421, -119.78483)",2677.8525725803474,2.6567420998549003,0,7,0.2,16,0,0
